Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2023-06-25,The Wolf of Wall Street,2013,https://boxd.it/4qmWtP,5,,"Si hay algo que le gusta a scorsese más que hacer que su personaje principal ascienda a la cima, es relatarnos como este lo pierde todo por su propia mano. 

Creo que esta película no solo critica a estos “gurús” que te venden cursos de cómo ser millonarios de la noche a la mañana, si no que también la escena del tren al final es magnífica ya que Patrick está haciendo justamente lo que jordan se burlaba antes en la película, representando perfectamente al héroe de la película con su incorruptibilidad ya que pudo fácilmente irse por el camino que le ofreció jordan. 

en fin 5 estrellas bien merecidas, CINE 🚬",,2023-06-25
2023-06-27,Jennifer's Body,2009,https://boxd.it/4qU79d,3,,si Megan Fox me mata de la misma forma a mi no me quejo honestamente,,2023-06-26
2023-06-27,The Girl on the Train,2016,https://boxd.it/4qXQR1,2.5,,"el guion de la película era muy ambicioso y tomaron mucha inspiración de gone girl pero honestamente siento que fallaron en muchas cosas durante el guion y estructuración de la película, debido a la mala planeacion de guion el clímax de la película no es tan satisfactorio como debería y honestamente siento que tenía mucho potencial la trama",,2023-06-26
2023-06-27,American Psycho,2000,https://boxd.it/4qZ8Wv,4.5,Yes,"Creo que no la había entendido muy bien la primera vez que la vi y la segunda vez digerí mucho mas, definitivamente es un clásico del cine y Si kanye le hace referencias es porque es de las buenas películas",,2023-06-27
2023-06-28,Raging Bull,1980,https://boxd.it/4raZxP,5,,"durante el primer tercio de película pensé que no era posible que esta película le fuera a dar más de 3 estrellas, y la alegro demasiado de que la película me probara lo contrario. 

Es una historia sumamente triste, realmente algo impresionante que se demuestra en la película es la falta de masculinidad de Jake, a pesar de ser un buen boxeador y estar en muy buena forma, sus actitudes reflejan una falta de masculinidad y de seguridad increíble

“<i>you ever think of anybody else when we’re in bed?” </i>

Creo que más que un miedo a que estas cosas pasen Jake de cierta forma quiere que pasen y posteriormente tener una razón para sacar su ira interna y aun más triste es ver cómo nunca cambiar esto lo lleva a ese triste final.

<i>“You never got me down, Ray.”
</i>
Nunca pudieron noquearlo excepto su orgullo y su ego. 

y para terminar me pareció muy irónico que el boxeador de la película es Robert De Niro pero la mejor escena de peleas en la película es la de Joe Pesci",,2023-06-27
2023-06-28,"Crazy, Stupid, Love.",2011,https://boxd.it/4rfyjh,3.5,Yes,"yo también quiero que Ryan gosling me enseñe a vestirme 

btw lo de que la niñera le entregue las fotos al niño me sigue pareciendo weird",,2023-06-28
2023-06-29,The Social Network,2010,https://boxd.it/4rxdp5,4.5,,David Fincher es tan buen director que puede hacer que Mark Zucaritas parezca una persona cool,,2023-06-29
2023-07-01,The Lego Batman Movie,2017,https://boxd.it/4s3xcT,4.5,,"“Sometimes, loosing people it’s part of life. But that doesn’t mean you stop letting them in” 

No porque una película está dirigida a un público menor significa que no tiene porque tener ciertas tramas acerca de sentimientos complejos que todos sentimos, la película me tuvo riendo y llorando.

no le doy 5 estrellas por el gatito que se quemo",,2023-06-30
2023-07-01,Corpse Bride,2005,https://boxd.it/4s4ySD,4,,"Siento que la trama es muy injusta con Emily y a pesar de todas las injusticias que le pasaron eligió siempre lo mejor para los demás, Team emily 4 life <3

""I've spent so long in the darkness, I'd almost forgotten how beautiful the moonlight is.""

No es posible que me enamore de un cadaver 🧑🏽‍🦯",,2023-07-01
2023-07-01,The Princess and the Frog,2009,https://boxd.it/4s5yxn,4,,"Ray es el héroe de la película, puso sus intereses por los de los demás e incluso se sacrificó para ayudar a alguien más, el momento donde muere y se convierte en estrella junto a Evangeline tiene que ser el momento más emocional que he visto en una película de Disney

also si yo conociera un cocodrilo que tocará Jazz no me asustaría, sería mi mejor amigo fr",,2023-07-01
2023-07-04,Coach Carter,2005,https://boxd.it/4sWDf5,3.5,,"probablemente es el arquetipo de película de deportes que esperas, pero realmente creo que va un poco más allá, la actuación de Samuel L. Jackson es increíble y el final tiene ese aire tan característico de las películas de los 2000’s",,2023-07-03
2023-07-17,Taxi Driver,1976,https://boxd.it/4wZ5vP,5,Yes,"""'He's a prophet and a pusher, partly truth, partly fiction. A walking contradiction.'""

Travis te dice la mitad de la pelicula como odia a toda la ""basura"" de la ciudad, sin embargo es donde parece mas cómodo estar durante toda la pelicula, habla mal de las prostitutas pero no tiene ningún problema consumiendo pornografía en un cine.

Cada vez que veo taxi driver encuentro algo nuevo, algo que me atrapa, algo que me hace querer volver de nuevo a la pelicula, Travis es una contradicción andante, pero así lo es la mayoría de humanos, criticamos a la gente que sigue tendencias cuando no son las tendencias que se alinean a lo que nosotros consideramos aceptable, criticamos a las multinacionales que explotan laboralmente a sus empleados mientras consumimos sus productos, tratamos bien a quienes nos tratan mal y odiamos a quienes nos aman.

Taxi Driver es mas que una pelicula sobre la soledad de un hombre, es un estudio sobre nuestra sociedad, sobre nuestros comportamientos e instintos mas primitivos, la ansiedad, el estrés post traumático, insomnio, machismo, racismo, es increíble como Scorsese pudo capturar tantos temas en una sola obra. 

mi pelicula favorita sin duda alguna.",,2023-07-17
2023-07-18,The Hunchback of Notre Dame,1996,https://boxd.it/4xd4qH,3.5,,"Mf quemo una ciudad entera porque estaba horny, no es la primera vez en la historia de la humanidad que eso pasa",,2023-07-17
2023-07-18,The King of Comedy,1982,https://boxd.it/4xhpXF,5,,"""Better to be king for a night, than schmuck for a lifetime.""

Me paso parecido que cuando vi Raging Bull por primera vez y el primer tercio de la película no sabía que tanto me gustaba la película, pero realmente el último tercio de la película es de lo mejor que he visto en una película de scorsese 

Rupert Pupkin no es tan mencionado a comparación de personajes como Travis Bickle o Jake Lamotta, sin embargo se merece un puesto entre ellos, el carisma, el cinismo, es un personaje muy completo, realmente otra prueba de el gran rango de Robert De Niro como Actor.",,2023-07-17
2023-07-22,Coraline,2009,https://boxd.it/4ym0cD,3.5,,Le di puntos extras porque el Gatito fue el mejor personaje de la peli,,2023-07-21
2023-07-22,Luca,2021,https://boxd.it/4yq4eV,3.5,,SILENZIO BRUNOOO,,2023-07-21
2023-07-22,I Am Legend,2007,https://boxd.it/4yy92B,4,,"La nostalgia de ver esta película junto a mi papa un domingo random por la tarde lo es todo. 

me identifico con Will porque yo también me se todos los diálogos de shrek",,2023-07-21
2023-07-22,Drive,2011,https://boxd.it/4yEV3z,4,Yes,Esta película es el ejemplo perfecto de que la gente tímida termina siempre en situaciones incómodas por su incapacidad de decir que no,,2023-07-21
2023-07-27,Puss in Boots: The Last Wish,2022,https://boxd.it/4ARohd,3.5,,"Perrito es el mejor personaje, me gusta que los estudios se atrevan a probar nuevos estilos de animación",,2023-07-26
