Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2023-05-20,Gone Girl,2014,https://boxd.it/4gBBxh,4,Yes,,2023-05-19
2023-07-30,Barbie,2023,https://boxd.it/4BZlTj,4.5,,,2023-07-29
2024-05-25,Shutter Island,2010,https://boxd.it/6xywjn,5,,,2024-05-24
